2021-06-16T10:16:53.714Z [AUDIT] Token created by 'jffe@000': tokenId='40846c87-209f-470f-8c39-fe4da2ba0bf1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623839213714, refreshable=false
2021-06-16T10:17:53.945Z [AUDIT] Token created by 'jffe@000': tokenId='cfaa68bb-4a55-4cf8-8cd4-ce40ff6c0c82', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623839273944, refreshable=false
2021-06-16T10:26:53.738Z [AUDIT] Token created by 'jffe@000': tokenId='ae0be8d8-8892-4afd-b3bc-3f71bf8d17da', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623839813738, refreshable=false
2021-06-16T10:26:53.738Z [AUDIT] Token created by 'jffe@000': tokenId='4db2d755-0129-4307-a3f1-d40537dd769c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623839813738, refreshable=false
2021-06-16T10:26:53.739Z [AUDIT] Token created by 'jffe@000': tokenId='d9123014-44f1-4996-b90e-ffe729ff1437', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623839813738, refreshable=false
2021-06-16T10:27:54.088Z [AUDIT] Token created by 'jffe@000': tokenId='abba3d60-e98a-477c-bb68-062cfaeb0b4a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623839874088, refreshable=false
2021-06-16T10:28:54.194Z [AUDIT] Token created by 'jffe@000': tokenId='a718ec7c-170e-43c3-99eb-b697fbe03e94', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623841134191, refreshable=true
2021-06-16T10:29:54.036Z [AUDIT] Token created by 'jffe@000': tokenId='7f8dc1aa-c159-4ec8-acce-9c41251a72f8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623839994036, refreshable=false
2021-06-16T10:36:53.822Z [AUDIT] Token created by 'jffe@000': tokenId='ac4eef96-4301-4aed-a503-6bff80768f40', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623840413822, refreshable=false
2021-06-16T10:36:53.833Z [AUDIT] Token created by 'jffe@000': tokenId='b14dfb6c-a2b4-4048-938c-b9dac836f541', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623840413832, refreshable=false
2021-06-16T10:36:53.833Z [AUDIT] Token created by 'jffe@000': tokenId='47f42d06-dfe2-49f8-a205-1a0cd244ceae', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623840413833, refreshable=false
2021-06-16T10:39:54.148Z [AUDIT] Token created by 'jffe@000': tokenId='0922cb00-c513-446d-a5cf-dcfe82549334', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623840594148, refreshable=false
2021-06-16T10:46:44.823Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='a718ec7c-170e-43c3-99eb-b697fbe03e94', tokenId='39160994-51a3-4ae2-90ff-85661be8a530', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623842204818, refreshable=true
2021-06-16T10:46:53.961Z [AUDIT] Token created by 'jffe@000': tokenId='751d2294-5741-4efa-ac20-04e8b1caef45', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623841013961, refreshable=false
2021-06-16T10:46:53.961Z [AUDIT] Token created by 'jffe@000': tokenId='3481b737-1853-420f-96ab-4a7443a1d7c6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623841013961, refreshable=false
2021-06-16T10:46:53.964Z [AUDIT] Token created by 'jffe@000': tokenId='bdd849d6-18f4-4bff-902f-b0be35320630', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623841013964, refreshable=false
2021-06-16T10:50:17.055Z [AUDIT] Token created by 'jffe@000': tokenId='73162857-2df3-4cbc-a5c0-45aa0dccd4d2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623841217055, refreshable=false
2021-06-16T10:56:54.099Z [AUDIT] Token created by 'jffe@000': tokenId='d2107204-9295-4bc9-add2-3091e216667e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623841614099, refreshable=false
2021-06-16T10:56:54.100Z [AUDIT] Token created by 'jffe@000': tokenId='cf4177ab-1e5b-4365-889c-9c2861666cdf', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623841614099, refreshable=false
2021-06-16T10:56:54.099Z [AUDIT] Token created by 'jffe@000': tokenId='2961be2d-7b0a-4c13-924c-f3628fa0b834', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623841614098, refreshable=false
2021-06-16T11:00:54.035Z [AUDIT] Token created by 'jffe@000': tokenId='516639c0-e01f-42a7-bc9f-70dd8e8b2f79', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623841854034, refreshable=false
2021-06-16T11:06:54.162Z [AUDIT] Token created by 'jffe@000': tokenId='617c5582-3a10-4b50-b148-4716f0575312', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623842214162, refreshable=false
2021-06-16T11:06:54.162Z [AUDIT] Token created by 'jffe@000': tokenId='0ff02505-c30a-433d-8007-bb14469f73e2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623842214162, refreshable=false
2021-06-16T11:06:54.174Z [AUDIT] Token created by 'jffe@000': tokenId='45d30289-5344-4f3a-9fb7-b02d8b21d13c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623842214174, refreshable=false
2021-06-16T11:10:54.109Z [AUDIT] Token created by 'jffe@000': tokenId='d4c2f38e-749b-469f-81b2-79f05932bb34', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623842454108, refreshable=false
2021-06-16T11:16:54.199Z [AUDIT] Token created by 'jffe@000': tokenId='d973f0a5-9937-41b9-b855-87cae8e1201f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623842814199, refreshable=false
2021-06-16T11:16:54.201Z [AUDIT] Token created by 'jffe@000': tokenId='6523e7a7-a7b8-4d8c-95a6-223277a18704', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623842814201, refreshable=false
2021-06-16T11:16:54.202Z [AUDIT] Token created by 'jffe@000': tokenId='9613b34b-4728-4dde-879d-713fb52d14b0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623842814202, refreshable=false
2021-06-16T11:17:54.171Z [AUDIT] Token created by 'jffe@000': tokenId='f752bd95-0d93-4a43-bd2a-2e4e496d43ec', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623844074168, refreshable=true
2021-06-16T11:17:54.271Z [AUDIT] Token created by 'jffe@000': tokenId='e5b89278-1a87-442a-96a6-38e5c4a1e0ac', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623842874271, refreshable=false
2021-06-16T11:26:54.431Z [AUDIT] Token created by 'jffe@000': tokenId='578b6a8f-de89-4677-8e00-a8f0a0d5fee3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623843414431, refreshable=false
2021-06-16T11:26:54.437Z [AUDIT] Token created by 'jffe@000': tokenId='3e18e0d0-97cc-47f0-bd38-1ef95a608d63', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623843414435, refreshable=false
2021-06-16T11:26:54.444Z [AUDIT] Token created by 'jffe@000': tokenId='d9f0ab0f-1695-40a0-be3a-57adac70497b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623843414443, refreshable=false
2021-06-16T11:27:54.117Z [AUDIT] Token created by 'jffe@000': tokenId='c075be3d-d221-48be-8b95-115fe8e64786', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623843474116, refreshable=false
2021-06-16T11:36:54.575Z [AUDIT] Token created by 'jffe@000': tokenId='f4f226f4-93c3-4ffb-971f-a2c51972e169', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623844014575, refreshable=false
2021-06-16T11:36:54.603Z [AUDIT] Token created by 'jffe@000': tokenId='2e6c9502-4bed-4625-9cee-080c085dee5b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623844014602, refreshable=false
2021-06-16T11:36:54.606Z [AUDIT] Token created by 'jffe@000': tokenId='23349580-0159-4be8-bb0d-415520f7a741', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623844014606, refreshable=false
2021-06-16T11:37:54.284Z [AUDIT] Token created by 'jffe@000': tokenId='2e5ed454-1146-45ec-ac78-b9cf97e36ad8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623844074283, refreshable=false
2021-06-16T11:46:54.999Z [AUDIT] Token created by 'jffe@000': tokenId='90a40a41-3fac-4d65-ad31-e4e6bdaf01b4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623844614999, refreshable=false
2021-06-16T11:46:54.999Z [AUDIT] Token created by 'jffe@000': tokenId='de560e26-70fe-4c31-bceb-eea223c55b13', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623844614999, refreshable=false
2021-06-16T11:46:54.999Z [AUDIT] Token created by 'jffe@000': tokenId='d8f94bb9-7695-46d2-b5e4-6233c09e06c3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623844614999, refreshable=false
2021-06-16T11:47:54.288Z [AUDIT] Token created by 'jffe@000': tokenId='27d410bd-7452-4b95-ad90-ae305d32e875', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623844674288, refreshable=false
2021-06-16T11:49:54.218Z [AUDIT] Token created by 'jffe@000': tokenId='b5abdc31-7f1d-46bb-8405-ac893d364722', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623845994215, refreshable=true
2021-06-16T11:49:54.283Z [AUDIT] Token created by 'jffe@000': tokenId='ec749666-295c-40fa-bcd6-9368cca6a97f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623844794283, refreshable=false
2021-06-16T11:56:55.054Z [AUDIT] Token created by 'jffe@000': tokenId='b5c8a21a-aa8b-482d-9649-cd37404d524e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623845215054, refreshable=false
2021-06-16T11:56:55.054Z [AUDIT] Token created by 'jffe@000': tokenId='872c0eb5-2f1e-4374-a5a5-e43a1fba849c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623845215054, refreshable=false
2021-06-16T11:56:55.056Z [AUDIT] Token created by 'jffe@000': tokenId='195d2589-edff-4c0b-9120-7a299f3211f8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623845215056, refreshable=false
2021-06-16T11:59:54.137Z [AUDIT] Token created by 'jffe@000': tokenId='97a169d3-60ad-428c-b36b-9186b4f5c6b5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623845394137, refreshable=false
